items,@timestamp,serialnumber,type
kr02-c4510-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2224A0UA,Serial_int
kr02-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1941U16L,Serial_int
kr02-vpn-router-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1906E2HU,Serial_int
kr02-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2240Q0VU,Serial_int
kr02-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO22330L0Q,Serial_int
il01-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2245B1QC,Serial_int
pt02-pan-1,2020-12-12 14:30:13.203156,FCW2245B1QR,Serial_int
gb50-pan-1,2020-12-12 14:30:13.203156,FCW2245B1SB,Serial_int
fw-in01.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2046Q02A,Serial_int
indc-c3850-dmz,2020-12-12 14:30:13.203156,FXS2301Q2WC,Serial_int
fr01-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2301Q47C,Serial_int
gb50-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2301Q3NP,Serial_int
gb50-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2315FT6T,Serial_int
solarwinds-us.internal.synopsys.com,2020-12-12 14:30:13.203156,SSI163705K0,Serial_int
solarwinds-us-p1,2020-12-12 14:30:13.203156,FCW2307F0NN,Serial_int
solarwinds-us-p2,2020-12-12 14:30:13.203156,JAE204008S5,Serial_int
solarwinds-us-p3.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL233930US,Serial_int
solarwinds-us-p4.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL233930JL,Serial_int
it01-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2334Q0V8,Serial_int
ie02-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2334Q0N2,Serial_int
ie02-c3650-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2340GH0U,Serial_int
fr42-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2319Q23Q,Serial_int
solarwinds-us-p5.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2319Q239,Serial_int
il01-a7010-dmz,2020-12-12 14:30:13.203156,FXS2319Q23R,Serial_int
in24-c4507-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2319Q22K,Serial_int
cn63-c4507-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2339M1Z9,Serial_int
cn42-a7010-dmz,2020-12-12 14:30:13.203156,FDO233502W9,Serial_int
IN08-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO23360626,Serial_int
jp01-kddi-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO233605V2,Serial_int
tw01-fw01,2020-12-12 14:30:13.203156,FDO233605W5,Serial_int
ru20-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO233605ZH,Serial_int
ru20-c3850-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2336061Y,Serial_int
fr65-hw-switch,2020-12-12 14:30:13.203156,FDO2336062L,Serial_int
gb01-c3560-int,2020-12-12 14:30:13.203156,FDO233502WE,Serial_int
gb11-c3560-int,2020-12-12 14:30:13.203156,FDO233605UG,Serial_int
gb14-switch-module,2020-12-12 14:30:13.203156,FDO2336061A,Serial_int
ie02-sw-module.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO233605V9,Serial_int
fr03-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2336063F,Serial_int
fr03-c3650-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO233605WQ,Serial_int
fr03-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO233608AD,Serial_int
fr03-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX2335PAMD,Serial_int
