items,@timestamp,serialnumber,type
us8k-c4507-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1446G1ZR,Serial_us
us95-c2960-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1624Z2DV,Serial_us
us95-c3560x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1620V0RG,Serial_us
us95-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1442K1U9,Serial_us
us8k-c2960-lab-core.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1746S0BP,Serial_us
us8k-c2960-lab-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S56B,Serial_us
us8k-c2960-lab-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S564,Serial_us
us8k-c2960-lab-3.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S55V,Serial_us
us8k-c2960-lab-4.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S53K,Serial_us
us8k-c2960-lab-5.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S54R,Serial_us
us8k-c2960-lab-6.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1745S55S,Serial_us
badc-c3750x-console-1,2020-12-12 14:30:13.203156,FDO1619Z1L9,Serial_us
us11-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1742R38R,Serial_us
ca06-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE18040137,Serial_us
ca09-c4500x-1.internal.synopsys.com,2020-12-12 14:30:13.203156,JAE18020CDM,Serial_us
us08-c3560x-2.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1730P1WH,Serial_us
ca42-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SPE183300MZ,Serial_us
badc-n6004-1702-1a,2020-12-12 14:30:13.203156,FOC1852R0G8,Serial_us
badc-n6004-1702-1b,2020-12-12 14:30:13.203156,FOC1852R0GT,Serial_us
us6a-c6880-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SAL1909A6N2,Serial_us
us8w-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2223W0Y9,Serial_us
us8w-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1906Q3MZ,Serial_us
us8w-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2045W0LT,Serial_us
us6d-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2039W0J0,Serial_us
us6d-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1909E1XX,Serial_us
us6d-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM1951W15R,Serial_us
ca11-c4507-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1905Q0UC,Serial_us
badc-c3750x-console-2,2020-12-12 14:30:13.203156,FDO1747Z165,Serial_us
badc-n5596-1629-1a,2020-12-12 14:30:13.203156,FOX1706GDLT,Serial_us
badc-n5596-1629-1b,2020-12-12 14:30:13.203156,FOX1705H1BD,Serial_us
ca06-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2117S0D5,Serial_us
us47-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2009A02C,Serial_us
us47-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1923A0BY,Serial_us
us47-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1951E14V,Serial_us
us47-c2960-training,2020-12-12 14:30:13.203156,FOC1945S5TH,Serial_us
us7m-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2113W0E8,Serial_us
us7m-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2019W0S0,Serial_us
us7m-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2012D0CM,Serial_us
us08-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2039A5VN,Serial_us
us03-n5596-1a.internal.synopsys.com,2020-12-12 14:30:13.203156,FOX1545GQEG,Serial_us
