items,@timestamp,type,network_device_type
badc-cloud-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us04-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
hqdc-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
hqdc-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
hqdc-sc-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
hqdc-sc-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us2d-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
usw2-aws-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us1a-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us1a-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
badc-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
badc-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
badc-cloud-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
usc1gcp-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
ase1gcp-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_DC_FW
us1a-fw1,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
us1a-fw2,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sdc-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sdc-pan-2,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sv1-pan,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sv2-pan,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
alom-pan-1,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sv1-pan-partner,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
sv2-pan-partner,2022-01-11 14:30:01.842505,detailed,US_PAN_INTERNET_FW
us04-riverbed-new.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
us8k-riverbed-new.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
us03-riverbed-new.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
ca09-riverbed-new,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
ca06-riverbed-new.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
sv2-riverbed,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
us26-riverbed-new,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
cl01-riverbed,2022-01-11 14:30:01.842505,detailed,US_RIVERBED
badc-cloud-router-2.internal.synopsy.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
sv1-wan-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
sv1-vpn-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
sv2-wan-router,2022-01-11 14:30:01.842505,detailed,US_ROUTER
sv2-level3-router,2022-01-11 14:30:01.842505,detailed,US_ROUTER
sdc-lumen-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
badc-cloud-router-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
usc1gcp-vpn-router-1,2022-01-11 14:30:01.842505,detailed,US_ROUTER
ase1gcp-vpn-router-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER
us6j-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us6o-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us11-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us8k-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us08-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us03-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us54-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us95-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
cl01-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us16-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us26-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us27-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
ca11-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us1a-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
ca42-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us1d-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us04-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us2d-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us2a-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
sv1-mpls-router,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
sv2-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
sv2lab-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
ca06-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us8w-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
ca09-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
ca14-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us8e-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
us6l-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_ROUTER_MPLS
